Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185444_RNODE_26_length_2661_cov_11.90530	0	0	16.46	19.92	33.11	0	0	6.09	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_27_length_6857_cov_18.00260	0	8.37	6.83	30.35	16.38	0	0	77.96	100	6.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_28_length_4132_cov_154.03730	0	0	0	0	0	0	0	50.21	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_29_length_2351_cov_13.67720	6.08	61.12	71.88	27.18	87.15	16.84	0	62.19	100	43.85	47.6	0	19.4	45.81	55.93	26.84	23.69	65.25	27.69	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_2_length_1698_cov_8.68200	23.01	71.81	52.62	17.89	87.52	33.08	16.72	9.42	100	56.97	100	0	57.15	0	0	0	0	0	0	0	0	0	0	0	0	0	8.24	0	24.78
ERR2185444_RNODE_30_length_1479_cov_9.17110	0	10.14	14	13.59	22.24	0	0	33.6	100	0	62.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_31_length_1989_cov_10.00500	15.69	97.89	13.93	29.96	42.08	15.64	0	14.88	100	78.83	74.66	0	52.49	56.46	27.95	0	6.94	88.19	30.17	0	0	0	0	0	69.18	13.83	0	7.04	0
ERR2185444_RNODE_32_length_2018_cov_17.00840	0	8.12	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_33_length_2237_cov_65.02910	0	0	0	0	12.43	0	0	54.94	100	16.63	68.48	0	0	6.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_34_length_3915_cov_25.60540	0	9.27	30.27	20.92	41.4	6.79	24.6	21.28	100	41.58	53.9	0	14.81	0	0	0	0	10.52	0	7.15	7.1	0	0	0	0	9.22	0	0	0
ERR2185444_RNODE_35_length_3416_cov_6.95900	0	0	0	0	7.9	0	0	84.81	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_36_length_2148_cov_25.58150	11.17	6.7	0	0	17.82	0	0	0	100	0	19.82	0	0	12.98	12.98	0	0	0	13.03	0	0	0	0	0	0	0	0	36.25	42.81
ERR2185444_RNODE_37_length_3265_cov_14.80740	0	0	0	0	10.51	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_38_length_3182_cov_13.26590	0	0	0	0	22.56	15.17	0	11.31	100	14.29	23.53	0	8.2	5.03	0	6.6	0	8.8	0	0	0	0	0	0	0	0	8.67	0	0
ERR2185444_RNODE_39_length_4400_cov_40.72750	0	0	0	5.41	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_3_length_1157_cov_10.33710	0	0	0	0	0	12.1	0	12.88	100	0	0	0	0	0	0	0	0	55.92	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_40_length_2595_cov_34.74410	0	0	0	0	5.74	0	0	56.8	100	7.28	33.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_41_length_2814_cov_38.01350	0	0	0	18.61	6.82	76.16	80.5	96.63	100	69.59	97.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_42_length_2901_cov_12.78900	0	0	0	0	0	0	0	52.57	100	0	10.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185444_RNODE_43_length_1013_cov_7.62980	0	0	0	0	0	47.88	27.44	64.17	100	20.43	50.54	0	75.02	0	27.54	0	0	81.34	0	0	0	0	0	0	0	0	0	0	0
